gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1895028965,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:IBUNAM:CNAR:1885:1c185acc30b4523ede02b4cd0941b6d5,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,15 km al SW de Río Frío,Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.241111,-98.720556,,,3175,25,0,0,,,,,2444358,2444358,PRESERVED_SPECIMEN,IBUNAM,CNAR,1885,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Ceballos, G.",,,2021-01-22T17:02:30.912Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION
1895028941,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:IBUNAM:CNAR:2329:85b3daf2251bf0e2f457f7f58c2bf45c,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,15 km al SW de Río Frío,Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.241111,-98.720556,,,3175,25,0,0,1977-10-19T00:00:00,19,10,1977,2444358,2444358,PRESERVED_SPECIMEN,IBUNAM,CNAR,2329,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Gpo. Biosfera,,,2021-01-22T17:02:29.676Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION
1895028925,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:IBUNAM:CNAR:1878:1a632195aba26da4de796260b3b089ce,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,15 km al SW de Río Frío,Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.241111,-98.720556,,,3175,25,0,0,1977-10-23T00:00:00,23,10,1977,2444358,2444358,PRESERVED_SPECIMEN,IBUNAM,CNAR,1878,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Gpo. Biosfera,,,2021-01-22T17:02:30.722Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION
1895028889,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:IBUNAM:CNAR:2331:a57c0dc92ab53a4b6efaa98c57a46fdd,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,15 km al SW de Río Frío,Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.241111,-98.720556,,,3175,25,0,0,1978-06-01T00:00:00,1,6,1978,2444358,2444358,PRESERVED_SPECIMEN,IBUNAM,CNAR,2331,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Gpo. Herpetol.,,,2021-01-22T17:02:31.368Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION
1895027156,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:ENCB-IPN:ENCB:7606:41b8232e2945f2dd5319d394120b4a3e,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,"Llanos Aculco, Zoquiapan",Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.330833,-98.720556,,,1600,1600,0,0,1972-09-02T00:00:00,2,9,1972,2444358,2444358,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,7606,,"Alvarez, T.; Matias, F. N.",,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Magaña, J.",,,2021-01-22T17:02:31.094Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
1895027128,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:ENCB-IPN:ENCB:7605:2a0c483f842fd9316326debece7898a0,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,"Llanos Aculco, Zoquiapan",Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.330833,-98.720556,,,1600,1600,0,0,1972-09-02T00:00:00,2,9,1972,2444358,2444358,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,7605,,"Alvarez, T.; Matias, F. N.",,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Magaña, J.",,,2021-01-22T17:02:30.697Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
1895027172,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:ENCB-IPN:ENCB:6635:15f83a72c3923ebe0365a9d8f9607ea9,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,"Llano Grande, Río Frío",Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.364167,-98.720556,,,1600,1600,0,0,1970-09-06T00:00:00,6,9,1970,2444358,2444358,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,6635,,"Alvarez, T.; Matias, F. N.",,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Aguirre, L.",,,2021-01-22T17:02:31.321Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
1895028952,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:NO DISPONIBLE:NO APLICA:NO DISPONIBLE:9bc206b4dac3321b7ab911a4c7a59fce,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,"Llano Grande, Río Frío",Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.331667,-98.72,,,2740,440,0,0,,,,,2444358,2444358,UNKNOWN,NO DISPONIBLE,NO APLICA,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:02:31.080Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1895028986,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:NO DISPONIBLE:NO APLICA:NO DISPONIBLE:a16d958c41b1ec793612b88aeb0dd7a5,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,Parque Nacional Zoquiapan,Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.316667,-98.718333,,,3300,100,0,0,,,,,2444358,2444358,UNKNOWN,NO DISPONIBLE,NO APLICA,NO DISPONIBLE,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:02:30.926Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1895028913,0159cf6b-6a46-4365-96f1-d7ca2511f082,urn:catalog:FC-UNAM:MZFC:3209:e61aced7d9482d8cbfd5ffc1f90d4e1a,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,Parque Nacional Zoquiapan,Mexico,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,19.318333,-98.718333,,,2785,485,0,0,1985-06-26T00:00:00,26,6,1985,2444358,2444358,PRESERVED_SPECIMEN,FC-UNAM,MZFC,3209,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),"Lara-Gongora, G.",,,2021-01-22T17:02:31.549Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
